"","x"
"1",0.75
"2",0.5
"3",0
"4",1
"5",1
"6",0.666666666666667
"7",0.8
"8",1
"9",0.8
"10",0.25
"11",0.5
"12",0.4
"13",0.5
"14",1
"15",0
"16",0.25
"17",1
"18",0.333333333333333
"19",1
"20",0.333333333333333
"21",0.666666666666667
"22",1
"23",0
"24",0.333333333333333
"25",0.666666666666667
"26",0.5
"27",0.666666666666667
"28",1
"29",0.5
"30",0.5
"31",0.5
"32",0.5
"33",0.666666666666667
"34",1
"35",0.833333333333333
"36",0.333333333333333
"37",0.2
"38",1
"39",0.5
"40",0.5
"41",0.333333333333333
"42",0.142857142857143
"43",0.4
"44",0.2
"45",0.4
"46",0.5
"47",0.4
"48",0.75
"49",1
"50",0.6
"51",0.666666666666667
"52",0.75
"53",0.666666666666667
"54",0.25
"55",1
"56",0.75
"57",0.75
"58",0.333333333333333
"59",1
"60",0
"61",1
"62",0.333333333333333
"63",1
"64",0.285714285714286
"65",0.25
"66",1
"67",0.666666666666667
"68",1
"69",1
"70",0.5
"71",1
"72",0.666666666666667
"73",0.75
"74",1
"75",1
"76",1
"77",1
"78",1
"79",0.714285714285714
"80",1
"81",0.8
"82",0.333333333333333
"83",0.333333333333333
"84",0.5
"85",0.5
"86",1
"87",1
"88",0.714285714285714
"89",0.333333333333333
"90",0.75
